time,location,height,voltage
2024-06-15 09:00:00,"51.507318,-0.127786",0.0,25.18
2024-06-15 09:00:16,"51.507578,-0.127585",6.7,25.19
2024-06-15 09:00:43,"51.507897,-0.127485",17.9,25.07
2024-06-15 09:01:08,"51.508197,-0.127442",28.3,24.96
2024-06-15 09:01:30,"51.508249,-0.127274",37.5,24.9
2024-06-15 09:01:51,"51.508479,-0.127170",46.2,24.85
2024-06-15 09:02:19,"51.508841,-0.126891",50.8,24.83
2024-06-15 09:02:35,"51.508832,-0.126848",50.5,24.77
2024-06-15 09:03:01,"51.509235,-0.126526",50.6,24.71
2024-06-15 09:03:19,"51.509550,-0.126240",50.6,24.62
2024-06-15 09:03:35,"51.509583,-0.126446",53.2,24.6
2024-06-15 09:03:58,"51.509609,-0.126192",49.4,24.55
2024-06-15 09:04:28,"51.510015,-0.126047",49.2,24.43
2024-06-15 09:04:54,"51.510291,-0.125851",48.8,24.39
2024-06-15 09:05:21,"51.510695,-0.125647",50.9,24.26
2024-06-15 09:05:47,"51.510857,-0.125570",51.7,24.2
2024-06-15 09:06:14,"51.511006,-0.125346",49.8,24.13
2024-06-15 09:06:37,"51.511366,-0.125012",48.7,24.03
2024-06-15 09:06:54,"51.511550,-0.124961",48.8,24.05
2024-06-15 09:07:22,"51.511780,-0.124948",51.0,23.93
2024-06-15 09:07:44,"51.511963,-0.124765",51.1,23.89
2024-06-15 09:08:07,"51.512440,-0.124619",50.8,23.84
2024-06-15 09:08:27,"51.512537,-0.124492",49.0,23.78
2024-06-15 09:08:44,"51.512715,-0.124276",50.3,23.74
2024-06-15 09:09:13,"51.512917,-0.124117",50.2,23.63
2024-06-15 09:09:40,"51.513148,-0.123898",50.3,23.54
2024-06-15 09:10:05,"51.513314,-0.123931",51.3,23.48
2024-06-15 09:10:26,"51.513038,-0.123960",50.3,23.36
2024-06-15 09:10:54,"51.512986,-0.124147",51.0,23.29
2024-06-15 09:11:17,"51.512621,-0.124290",50.1,23.23
2024-06-15 09:11:39,"51.512514,-0.124442",50.4,23.18
2024-06-15 09:12:01,"51.512157,-0.124518",50.9,23.17
2024-06-15 09:12:19,"51.512044,-0.124604",47.8,23.07
2024-06-15 09:12:35,"51.511865,-0.124931",49.5,23.05
2024-06-15 09:12:58,"51.511511,-0.124855",49.3,23.05
2024-06-15 09:13:27,"51.511468,-0.125194",49.0,22.9
2024-06-15 09:13:43,"51.511139,-0.125170",49.6,22.9
2024-06-15 09:14:11,"51.510801,-0.125545",52.2,22.75
2024-06-15 09:14:39,"51.510661,-0.125692",48.7,22.7
2024-06-15 09:14:58,"51.510420,-0.125800",51.5,22.62
2024-06-15 09:15:23,"51.510197,-0.125841",47.5,22.57
2024-06-15 09:15:40,"51.510007,-0.126015",49.5,22.57
2024-06-15 09:16:07,"51.509566,-0.126251",50.2,22.39
2024-06-15 09:16:33,"51.509403,-0.126518",50.9,22.4
2024-06-15 09:16:53,"51.509200,-0.126580",51.1,22.34
2024-06-15 09:17:09,"51.509183,-0.126766",51.2,22.26
2024-06-15 09:17:39,"51.508812,-0.126899",49.5,22.14
2024-06-15 09:18:01,"51.508564,-0.126926",49.6,22.14
2024-06-15 09:18:30,"51.508343,-0.127093",37.5,22.03
2024-06-15 09:18:55,"51.508038,-0.127422",27.1,21.99
2024-06-15 09:19:22,"51.507762,-0.127527",15.8,21.91
2024-06-15 09:19:49,"51.507524,-0.127813",4.6,21.9
2024-06-15 09:20:00,"51.507407,-0.127782",0.0,21.79
